,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2014-02-07,-0.0004263284224193765,0.003442809871872288,0.0036010609707161057,0.005870935881657704,0.0018597624669108382,0.003442809871872288
2014-02-14,0.01487983116624845,0.018993120349027712,0.01883650001452001,0.020928953095854057,0.0168501941313583,0.018993120349027712
2014-02-21,-0.00010484887741626768,0.001550227567723945,0.0005676266134765177,0.0006077004447002091,0.0016211782002680361,0.001550227567723945
2014-02-28,0.014899703647369984,0.009750812237848589,0.01192728523582392,0.011035215213903975,0.010198732297447399,0.009750812237848589
2014-03-07,-0.003155304813321153,-0.00258152882169388,0.0004013759159224829,0.0033271700687336515,-0.005012993212477567,-0.00258152882169388
2014-03-14,-0.0014256326770964948,0.00959299042036129,-0.001240936740061135,-0.004769822602643977,0.011024832874445742,0.00959299042036129
2014-03-21,0.004023312105953672,-0.006859514058934098,0.00037819983913084545,0.0008624428216367314,-0.006235439779988773,-0.006859514058934098
2014-03-28,0.004457542327966682,-0.004206766270071436,-0.00031728563528600034,-0.0016037226478790058,-0.002682551005303176,-0.004206766270071436
2014-04-04,-0.0002751628635421963,0.0013288195245982249,0.0017809058488037794,0.0030598654387269373,0.0004276727840857508,0.0013288195245982249
2014-04-11,-0.006887156579879917,0.0011574551544136355,-0.01392320814605027,-0.016395060365345285,0.003332768609507641,0.0011574551544136355
2014-04-18,0.013659486813623516,0.002132907962487294,0.015407363936284777,0.017436546518184888,0.0011007786200372507,0.002132907962487294
2014-04-25,0.004240705154282774,0.004315806524147602,0.002568648592801427,0.001196093239422603,0.004787240309044259,0.004315806524147602
2014-05-02,0.010645953389600112,0.004291250462569646,0.007095717160410823,0.006104889528039003,0.004409369353652818,0.004291250462569646
2014-05-09,-0.0045392669783039415,-0.0029785270985260015,-0.0022437168763793764,-0.0008602317150970697,-0.0030121698598651815,-0.0029785270985260015
2014-05-16,0.008432523683739855,0.007020065528123698,0.0053757190401326795,0.0034038349691354747,0.008054019187508026,0.007020065528123698
2014-05-23,0.004407125325277088,0.0017035618881175447,0.005370802419252361,0.006867043862853995,0.0007261871715655344,0.0017035618881175447
