Date,LSI,IRI,regime_0,regime_1,regime_2,regime_3,regime,regime_name
2020-04-24,1.4157680567752384,1.3912148722594146,7.368642394118222e-07,5.796385078572421e-10,0.7910845051519942,0.20891475740412793,2,Elevated Stress
2020-05-01,0.01964566481070858,1.2942827518178048,0.0016520726351352455,0.004638662620590301,0.9750100645298557,0.018699200214418708,2,Elevated Stress
2020-05-08,1.012645910416895,-0.4988486875923281,0.005361450926212029,5.446724260873086e-10,0.9932587356631285,0.001379812865987037,2,Elevated Stress
2020-05-15,0.6299096227942641,-0.039831218456162776,0.04477075343322917,2.305505110764005e-06,0.9549203047714261,0.00030663629023397444,2,Elevated Stress
2020-05-22,0.046041365514102824,-0.27046268411531266,0.135087137930735,0.0010357362416224861,0.863635179060827,0.00024194676681541416,2,Elevated Stress
2020-05-29,-0.0986945559807639,0.1709980721136079,0.13731926147349025,0.005938302153521259,0.8564832603572409,0.00025917601574755085,2,Elevated Stress
2020-06-05,0.43117242896782215,-0.7465577936397404,0.09274398547291342,2.0493672153090506e-06,0.9069877863617017,0.0002661787981694722,2,Elevated Stress
2020-06-12,1.1069213360926702,-0.34089436403480566,0.010590414273712283,1.4595141322273713e-10,0.989030600898425,0.0003789846819111882,2,Elevated Stress
2020-06-19,0.34337375502795414,-0.17510435100209343,0.014612975023445942,2.070198786020398e-05,0.985058911602934,0.0003074113857598355,2,Elevated Stress
2020-06-26,1.310686859803625,0.18527903733021978,0.00035556941919602557,1.7650977304920323e-11,0.9986325590610053,0.0010118715021477525,2,Elevated Stress
2020-07-03,2.219485524790743,1.0611004916083724,5.278665560615277e-07,3.0964266923671685e-18,0.9941832786661149,0.005816193467329083,2,Elevated Stress
2020-07-10,0.395423647009503,0.8490191340125269,0.00468043798477629,0.0007283878591015676,0.9938064466609109,0.0007847274952113532,2,Elevated Stress
2020-07-17,0.16711334306451253,0.9206450595132863,0.00941440954716091,0.02991838949419083,0.9599845061257626,0.0006826948328857524,2,Elevated Stress
2020-07-24,-0.875580241816924,1.8623245891890774,0.0002642548804878912,0.1813846939733316,0.8146261304989377,0.0037249206472429047,2,Elevated Stress
2020-07-31,-0.5243411057115346,2.6575459022841628,6.416347290155985e-05,0.26868565117207,0.7241230114667175,0.007127173888311007,2,Elevated Stress
2020-08-07,-0.17870797484573858,2.3787952416794074,0.0004587357007326088,0.535958844352585,0.4605787657563607,0.0030036541903218222,2,Elevated Stress
2020-08-14,-0.8193316334125732,0.7945009876437155,0.011323132558028732,0.9321655750665919,0.05645766656317799,5.362581220123484e-05,1,Calm
2020-08-21,-0.9324725717481877,-0.08977404701902432,0.127951188077622,0.8631389907995614,0.00890910672158309,7.144012335537215e-07,1,Calm
2020-08-28,-0.12241886207897089,-1.221996306108958,0.9912324261778825,0.0028489539519219865,0.005918470469015503,1.494011800310958e-07,0,Deep Calm
2020-09-04,0.023566467768330993,-1.701134698507054,0.9952840357266424,2.447027129224921e-06,0.0047128626254306005,6.546207977934959e-07,0,Deep Calm
2020-09-11,0.48860507072748977,-0.038604600378040095,0.9809611890416957,2.160114825311981e-05,0.019016978562436625,2.3124761448719446e-07,0,Deep Calm
2020-09-18,-0.04351932924012867,-0.35619541239139907,0.9914839148813382,0.0010201072746641425,0.007495712749674201,2.6509432351672293e-07,0,Deep Calm
2020-09-25,-0.5325543465301493,-0.8019138913913332,0.9920509608284372,0.005462956825743721,0.0024858020425458345,2.803032732248698e-07,0,Deep Calm
2020-10-02,-0.15793960911371088,-0.4909667198286844,0.9877011751025125,0.0015632408108852,0.010735223481661437,3.6060494075734684e-07,0,Deep Calm
2020-10-09,0.5038463844089223,-0.7075337272436607,0.9511486808534726,2.3052114942872124e-05,0.0488255715866468,2.6954449376255896e-06,0,Deep Calm
2020-10-16,-0.8332599994013283,-0.6857495593484186,0.5948173925196933,0.3855048417954226,0.019669908221743956,7.85746314014242e-06,1,Calm
2020-10-23,-1.0494978260655934,-0.23460108289991743,0.31417460682320403,0.5780161134700703,0.10778361117465987,2.566853206577798e-05,1,Calm
2020-10-30,1.7688743672347829,-1.0461108522167464,0.00020351531731335168,1.7459144880626842e-17,0.9990616706748153,0.0007348140078712651,2,Elevated Stress
2020-11-06,3.0939255533858394,-0.3191801293097385,3.610821974474368e-11,1.22392698003969e-34,0.9689016602439878,0.031098339719903858,2,Elevated Stress
2020-11-13,1.172470879795806,-0.5554703474015961,0.0024937421625306827,1.2934327302054847e-11,0.9951696620028594,0.002336595821675627,2,Elevated Stress
2020-11-20,0.8720126055310369,0.024441374796123128,0.06205535234907616,2.252005357846846e-07,0.9376948105852376,0.0002496118651504286,2,Elevated Stress
2020-11-27,0.30744241978968223,-0.38625895180511893,0.4626315669262357,0.0008117331342818983,0.536455697314688,0.00010100262479451427,2,Elevated Stress
