,returns,returns,returns,returns,returns,returns,turnover,turnover,turnover,turnover,turnover,turnover,growth,growth,growth,growth,growth,growth,drawdown,drawdown,drawdown,drawdown,drawdown,drawdown
,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-09-17,0.0028017572480042267,0.008357315720509212,0.007187926181132145,0.008867741778151063,0.007180961195585327,0.008357315720509212,0.0,0.0,0.0,0.0,0.0,0.0,1.0178819888894266,1.0476178815084771,1.0660925572540743,1.0822536250053287,1.0553615594548116,1.0476178815084771,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-24,0.02288708940557555,0.014674612487322575,0.019289561841156426,0.018662417946057535,0.014046956580755063,0.014674612487322575,0.0,0.0,0.0,0.0,0.0,0.0,1.041178344973464,1.0629912679544038,1.0866570155656232,1.102451094478814,1.0701861774574712,1.0629912679544038,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0031978208544499566,0.00777016343267667,0.0036254396805895277,0.002808933792595417,0.008196229845048197,0.00777016343267667,0.0,0.0,0.0,0.0,0.0,0.0,1.0445078467982216,1.0712508838339179,1.0905966250290458,1.1055478066127793,1.0789576693449061,1.0712508838339179,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,0.01004039710498428,0.012501750517733064,0.013159573351962198,0.014703969607733321,0.011381458401860462,0.012501750517733064,0.0,0.0,0.0,0.0,0.0,0.0,1.054995120359348,1.0846433951255106,1.104948411313518,1.1218037479611098,1.0912377811759235,1.0846433951255106,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-15,-0.009159354557385101,-0.001978488183704755,0.00012193411596884868,0.004791054388682847,-0.004902067989060925,-0.001978488183704755,0.0,0.0,0.0,0.0,0.0,0.0,1.0453320459956654,1.0824974409847214,1.1050831422212426,1.12717837073102,1.0858884593803673,1.0824974409847214,-0.009159354557385146,-0.0019784881837046076,0.0,0.0,-0.004902067989060788,-0.0019784881837046076
2010-10-22,0.007673584753914936,-0.0024371160290516326,0.0027548934302049867,0.0018807271961930514,-0.0014616433328539704,-0.0024371160290516326,0.0,0.0,0.0,0.0,0.0,0.0,1.0533534900465964,1.0798592691198903,1.1081275285095782,1.1292982857478144,1.0843012777534908,1.0798592691198903,-0.0015560548869575364,-0.004410782407490377,0.0,0.0,-0.006356546246921391,-0.004410782407490377
2010-10-29,-0.002962099772227986,0.005017352084308499,0.0019377039106733135,0.003375618117327503,0.004068174615185609,0.005017352084308499,0.0,0.0,0.0,0.0,0.0,0.0,1.050233351913654,1.0852773032745688,1.110274751555096,1.1331103655010515,1.0887124046868608,1.0852773032745688,-0.004513545469359226,0.0,0.0,0.0,-0.0023142311718178377,0.0
2010-11-05,0.012504675958999952,0.014005657657674466,0.02516774812805287,0.025640974459501226,0.01049820079089629,0.014005657657674466,0.0,0.0,0.178039821686194,0.40738157890689064,0.0,0.0,1.0633661796606686,1.1004773256478766,1.138217866855171,1.16216441944266,1.1001419261148029,1.1004773256478766,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-12,-0.01997458609065633,-0.01859408749896003,-0.019482240616304013,-0.018327793707374515,-0.01847857748461698,-0.01859408749896003,0.0,0.0,0.0,0.0,0.06195568988704567,0.0,1.0421258803591442,1.0800149539641584,1.1160428324993223,1.1408645097090642,1.0798128682890147,1.0800149539641584,-0.019974586090656388,-0.018594087498960077,-0.019482240616303992,-0.018327793707374473,-0.01847857748461701,-0.018594087498960077
2010-11-19,0.003505849586457479,0.0002157309978507195,0.0007945317138633462,0.0021711783644177405,0.0012208955019748923,0.0002157309978507195,0.0,0.0,0.0,0.0,0.0,0.0,1.045779416945838,1.0802479466678707,1.1169295639237729,1.1433415300492766,1.0811312069628833,1.0802479466678707,-0.01653876439858437,-0.01838236782215974,-0.018703188160467454,-0.016196408252121652,-0.01728024239477599,-0.01838236782215974
2010-11-26,-0.0058847575442397505,-0.005097330709380763,-0.009694108834793526,-0.014728280122348428,-0.004210371614550629,-0.005097330709380763,0.0,0.0,0.0,0.0,0.0,0.0,1.0396252586323553,1.074741565635575,1.1061019271702974,1.1265020757191966,1.0765792428174819,1.074741565635575,-0.02232619532425717,-0.023385997523529545,-0.028215986253675718,-0.03068614313675677,-0.021417857767255244,-0.023385997523529545
2010-12-03,0.012884204616516811,0.016223368642409714,0.02552141143133312,0.02466108230282193,0.010928417409024005,0.016223368642409714,0.0,0.0,0.0,0.0,0.0,0.0,1.0530200031890737,1.0921774942502016,1.1343312095386011,1.1542828361228075,1.0883445501568823,1.0921774942502016,-0.009729645976606527,-0.0075420285400144005,-0.0034146866164633805,-0.0067818143353866045,-0.010723503647918964,-0.0075420285400144005
2010-12-10,0.0017202931935047655,-0.0038102471427376087,0.006106736407057597,0.010358695295311355,-0.004778225046877377,-0.0038102471427376087,0.06900024414603018,0.07335097724583226,0.0,0.0,0.0,0.07335097724583226,1.0548315063331843,1.0880160280733724,1.1412582712335522,1.1662397003068115,1.08314419496769,1.0880160280733724,-0.008026090626850446,-0.011323538690056978,0.0,0.0,-0.015450489381075516,-0.011323538690056978
2010-12-17,-0.0004972569576633108,-0.002045421724940165,-0.0015562121317832637,-0.0019262356047357917,-0.0017944403382675247,-0.002045421724940165,0.0,0.0,0.228410513118871,0.402064157622177,0.0,0.0,1.0543069840274977,1.085790576452468,1.1394822312663606,1.163993247872424,1.0812005573320798,1.085790576452468,-0.008519356555106716,-0.013345799002957293,-0.0015562121317831412,-0.0019262356047359264,-0.01721720473795174,-0.013345799002957293
2010-12-24,0.008250307947450717,0.005978184019067188,0.009506957512781584,0.011062519622284517,0.005087098607174115,0.005978184019067188,0.0,0.0,0.0,0.0,0.0,0.0,1.0630053413168725,1.0922816323246698,1.1503152404255794,1.1768699460172192,1.0867007311813597,1.0922816323246698,-0.00033933592274981716,-0.0074473986262113545,0.0,0.0,-0.012217691749019433,-0.0074473986262113545
