Date,LSI,IRI,regime,regime_name
2009-10-23,-0.34320868164783697,0.6145228168037851,2,Elevated Stress
2009-10-30,1.005707123238689,0.16472571243113135,2,Elevated Stress
2009-11-06,1.004546022899793,-0.04175102823011982,2,Elevated Stress
2009-11-13,0.6790216041311573,0.596701605544336,2,Elevated Stress
2009-11-20,0.15314645012298184,1.3089884049441682,2,Elevated Stress
2009-11-27,-0.583913879914952,1.9933101598732819,1,Calm
2009-12-04,-0.5692233909709753,0.94997122260333,1,Calm
2009-12-11,-1.4356148496247958,-0.23460069497668962,1,Calm
2009-12-18,-1.2477445071843705,-0.8175243812772913,1,Calm
2009-12-25,-0.9447278475978516,-1.8230577986971983,0,Deep Calm
2010-01-01,-1.045491804410842,-1.379799584945637,0,Deep Calm
2010-01-08,-0.23255205870896473,0.008580617253345687,0,Deep Calm
2010-01-15,-0.6516686259299626,0.10037153511627511,0,Deep Calm
2010-01-22,1.3629991941778825,-0.1675058836155764,2,Elevated Stress
2010-01-29,0.5856961612553552,-0.06685824791988641,2,Elevated Stress
2010-02-05,0.21173823662888738,-1.2467772946689042,2,Elevated Stress
2010-02-12,0.48413597284335713,-1.3971150086806656,2,Elevated Stress
2010-02-19,0.17389441822368196,-0.22305370232147703,2,Elevated Stress
2010-02-26,-0.830369334749641,0.49501029487327824,1,Calm
2010-03-05,-0.19443663234518038,0.8396650461539029,1,Calm
2010-03-12,-1.0666092249320824,0.6498811656692465,1,Calm
2010-03-19,-0.8049438521485067,0.25942007438199904,1,Calm
2010-03-26,-1.0653364640909173,-0.4730801348550025,1,Calm
2010-04-02,-1.026600195466656,-0.38281840749739005,1,Calm
2010-04-09,-0.8286742680345502,0.5439229779362867,1,Calm
2010-04-16,-1.2271626175761123,0.23393999636509202,1,Calm
2010-04-23,-0.37845339829118024,0.9058640537258354,1,Calm
2010-04-30,0.18290887548066836,1.3939347640891262,2,Elevated Stress
2010-05-07,3.2611314756829115,0.9070548000930825,2,Elevated Stress
2010-05-14,1.7669896737106099,1.6908726883951042,2,Elevated Stress
2010-05-21,2.752653192101509,0.891162135600698,2,Elevated Stress
2010-05-28,1.204867421630786,0.6177907779926592,2,Elevated Stress
2010-06-04,0.7587318618019412,0.2715180121325703,2,Elevated Stress
2010-06-11,1.0424764466479242,0.04482177428412097,2,Elevated Stress
2010-06-18,-0.20212300351013612,1.0488877600954543,2,Elevated Stress
2010-06-25,0.7262681133748446,0.9023178512409963,2,Elevated Stress
2010-07-02,1.821927035583243,0.28287790709639904,2,Elevated Stress
2010-07-09,2.102185395430229,0.0738102943191108,2,Elevated Stress
2010-07-16,0.8190803318012861,-0.39834506119262686,2,Elevated Stress
2010-07-23,1.1281178056891876,-0.6077407502046145,2,Elevated Stress
